"TOA5","CR3000","CR3000","7967","CR3000.Std.25","CPU:Nik_BSnowCSat114J02.CR3","22301","slow_data"
"TIMESTAMP","RECORD","batt_volt","Tref"
"TS","RN","V","degC"
"","","Smp","Smp"
"2014-11-02 00:15:00",319,12.19,-2.781
"2014-11-02 00:30:00",320,12.16,-2.811
"2014-11-02 00:45:00",321,12.15,-2.848
"2014-11-02 01:00:00",322,12.18,-2.896
"2014-11-02 01:15:00",323,12.18,-2.936
"2014-11-02 01:30:00",324,12.15,-2.951
"2014-11-02 01:45:00",325,12.14,-2.954
"2014-11-02 02:00:00",326,12.14,-2.957
"2014-11-02 02:15:00",327,12.17,-2.965
"2014-11-02 02:30:00",328,12.14,-2.997
"2014-11-02 02:45:00",329,12.19,-3.029
"2014-11-02 03:00:00",330,12.17,-3.076
"2014-11-02 03:15:00",331,12.17,-3.127
"2014-11-02 03:30:00",332,12.13,-3.172
"2014-11-02 03:45:00",333,12.17,-3.199
"2014-11-02 04:00:00",334,12.13,-3.217
"2014-11-02 04:15:00",335,12.16,-3.22
"2014-11-02 04:30:00",336,12.14,-3.228
"2014-11-02 04:45:00",337,12.13,-3.257
"2014-11-02 05:00:00",338,12.15,-3.305
"2014-11-02 05:15:00",339,12.15,-3.356
"2014-11-02 05:30:00",340,12.13,-3.377
"2014-11-02 05:45:00",341,12.15,-3.372
"2014-11-02 06:00:00",342,12.12,-3.342
"2014-11-02 06:15:00",343,12.14,-3.295
"2014-11-02 06:30:00",344,12.15,-3.252
"2014-11-02 06:45:00",345,12.11,-3.204
"2014-11-02 07:00:00",346,12.13,-3.146
"2014-11-02 07:15:00",347,12.11,-3.111
"2014-11-02 07:30:00",348,12.12,-3.087
"2014-11-02 07:45:00",349,12.11,-3.066
"2014-11-02 08:00:00",350,12.11,-3.047
"2014-11-02 08:15:00",351,12.13,-3.044
"2014-11-02 08:30:00",352,12.11,-3.055
"2014-11-02 08:45:00",353,12.11,-3.055
"2014-11-02 09:00:00",354,12.16,-3.047
"2014-11-02 09:15:00",355,12.12,-3.023
"2014-11-02 09:30:00",356,12.12,-2.975
"2014-11-02 09:45:00",357,12.14,-2.909
"2014-11-02 10:00:00",358,12.15,-2.832
"2014-11-02 10:15:00",359,12.18,-2.76
"2014-11-02 10:30:00",360,12.16,-2.667
"2014-11-02 10:45:00",361,12.18,-2.545
"2014-11-02 11:00:00",362,12.19,-2.362
"2014-11-02 11:15:00",363,12.21,-2.084
"2014-11-02 11:30:00",364,12.28,-1.732
"2014-11-02 11:45:00",365,12.73,-1.314
"2014-11-02 12:00:00",366,13.04,-0.699
"2014-11-02 12:15:00",367,13.2,0.032
"2014-11-02 12:30:00",368,13.18,0.571
"2014-11-02 12:45:00",369,13.45,0.888
"2014-11-02 13:00:00",370,14.37,1.588
"2014-11-02 13:15:00",371,14.42,2.929
"2014-11-02 13:30:00",372,13.47,4.418
"2014-11-02 13:45:00",373,14.37,5.307
"2014-11-02 14:00:00",374,13.98,5.441
"2014-11-02 14:15:00",375,13.97,5.297
"2014-11-02 14:30:00",376,14.32,5.436
"2014-11-02 14:45:00",377,13.59,5.564
"2014-11-02 15:00:00",378,14.52,5.507
"2014-11-02 15:15:00",379,14.52,5.382
"2014-11-02 15:30:00",380,13.87,5.104
"2014-11-02 15:45:00",381,12.97,4.32
"2014-11-02 16:00:00",382,12.91,2.916
"2014-11-02 16:15:00",383,12.87,1.526
"2014-11-02 16:30:00",384,12.84,0.507
"2014-11-02 16:45:00",385,12.79,-0.247
"2014-11-02 17:00:00",386,12.8,-0.901
